get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
page|public PageResult<Entity> (Entity where, Page page) throws SQLException { return this.page(where.getFieldNames(), where, page); }
do config executors submit|@RequirePOST public synchronized void (StaplerRequest req, StaplerResponse rsp) throws IOException, ServletException, FormException { checkPermission(ADMINISTER); BulkChange bc = new BulkChange(this); try { JSONObject json = req.getSubmittedForm(); ExtensionList.lookupSingleton(MasterBuildConfiguration.class).configure(req, json); getNodeProperties().rebuild(req, json.optJSONObject("nodeProperties"), NodeProperty.all()); } finally { bc.commit(); } updateComputerList(); // back to the computer page rsp.sendRedirect(req.getContextPath() + '/' + toComputer().getUrl()); }
total page|public static int (int totalCount, int pageSize) { if (pageSize == 0) { return 0; } return totalCount % pageSize == 0 ? (totalCount / pageSize) : (totalCount / pageSize + 1); }
get new add ons|public List<AddOn> (AddOnCollection aoc) { List<AddOn> newAddOns = new ArrayList<>(); for (AddOn ao : aoc.getAddOns()) { boolean isNew = true; for (AddOn addOn : addOns) { try { if (ao.isSameAddOn(addOn)) { isNew = false; break; } } catch (Exception e) { logger.error(e.getMessage(), e); } } if (isNew) { newAddOns.add(ao); } } return newAddOns; }
start application|@Override public SparkAppHandle (SparkAppHandle.Listener... listeners) throws IOException { LauncherServer server = LauncherServer.getOrCreateServer(); ChildProcAppHandle handle = new ChildProcAppHandle(server); for (SparkAppHandle.Listener l : listeners) { handle.addListener(l); } String secret = server.registerHandle(handle); String loggerName = getLoggerName(); ProcessBuilder pb = createBuilder(); boolean outputToLog = outputStream == null; boolean errorToLog = !redirectErrorStream && errorStream == null; // redirection. if (loggerName == null && (outputToLog || errorToLog)) { String appName; if (builder.appName != null) { appName = builder.appName; } else if (builder.mainClass != null) { int dot = builder.mainClass.lastIndexOf("."); if (dot >= 0 && dot < builder.mainClass.length() - 1) { appName = builder.mainClass.substring(dot + 1, builder.mainClass.length()); } else { appName = builder.mainClass; } } else if (builder.appResource != null) { appName = new File(builder.appResource).getName(); } else { appName = String.valueOf(COUNTER.incrementAndGet()); } String loggerPrefix = getClass().getPackage().getName(); loggerName = String.format("%s.app.%s", loggerPrefix, appName); } if (outputToLog && errorToLog) { pb.redirectErrorStream(true); } pb.environment().put(LauncherProtocol.ENV_LAUNCHER_PORT, String.valueOf(server.getPort())); pb.environment().put(LauncherProtocol.ENV_LAUNCHER_SECRET, secret); try { Process child = pb.start(); InputStream logStream = null; if (loggerName != null) { logStream = outputToLog ? child.getInputStream() : child.getErrorStream(); } handle.setChildProc(child, loggerName, logStream); } catch (IOException ioe) { handle.kill(); throw ioe; } return handle; }
auth token check failed|@Override public void (WireCommands.AuthTokenCheckFailed authTokenCheckFailed) { result.completeExceptionally(new WireCommandFailedException(new AuthenticationException(authTokenCheckFailed.toString()), type, WireCommandFailedException.Reason.AuthFailed)); }
skip task from workflow|@Service public void (String workflowId, String taskReferenceName, SkipTaskRequest skipTaskRequest) { workflowExecutor.skipTaskFromWorkflow(workflowId, taskReferenceName, skipTaskRequest); }
create transaction|public void (String scope, String streamName, Duration latency) { DYNAMIC_LOGGER.incCounterValue(globalMetricName(CREATE_TRANSACTION), 1); DYNAMIC_LOGGER.incCounterValue(CREATE_TRANSACTION, 1, streamTags(scope, streamName)); createTransactionLatency.reportSuccessValue(latency.toMillis()); }
similarity|@Override public double (String label1, String label2) { if (label1 == null || label2 == null) { log.debug("LABELS: " + label1 + ": " + (label1 == null ? "null" : "exists") + ";" + label2 + " vec2:" + (label2 == null ? "null" : "exists")); return Double.NaN; } INDArray vec1 = getWordVectorMatrix(label1).dup(); INDArray vec2 = getWordVectorMatrix(label2).dup(); if (vec1 == null || vec2 == null) { log.debug(label1 + ": " + (vec1 == null ? "null" : "exists") + ";" + label2 + " vec2:" + (vec2 == null ? "null" : "exists")); return Double.NaN; } if (label1.equals(label2)) return 1.0; vec1 = Transforms.unitVec(vec1); vec2 = Transforms.unitVec(vec2); return Transforms.cosineSim(vec1, vec2); }
get surplus queued task count|public static int () { /* * The aim of this method is to return a cheap heuristic guide * for task partitioning when programmers, frameworks, tools, * or languages have little or no idea about task granularity. * In essence by offering this method, we ask users only about * tradeoffs in overhead vs expected throughput and its * variance, rather than how finely to partition tasks. * * In a steady state strict (tree-structured) computation, * each thread makes available for stealing enough tasks for * other threads to remain active. Inductively, if all threads * play by the same rules, each thread should make available * only a constant number of tasks. * * The minimum useful constant is just 1. But using a value of * 1 would require immediate replenishment upon each steal to * maintain enough tasks, which is infeasible. Further, * partitionings/granularities of offered tasks should * minimize steal rates, which in general means that threads * nearer the top of computation tree should generate more * than those nearer the bottom. In perfect steady state, each * thread is at approximately the same level of computation * tree. However, producing extra tasks amortizes the * uncertainty of progress and diffusion assumptions. * * So, users will want to use values larger, but not much * larger than 1 to both smooth over transient shortages and * hedge against uneven progress; as traded off against the * cost of extra task overhead. We leave the user to pick a * threshold value to compare with the results of this call to * guide decisions, but recommend values such as 3. * * When all threads are active, it is on average OK to * estimate surplus strictly locally. In steady-state, if one * thread is maintaining say 2 surplus tasks, then so are * others. So we can just use estimated queue length. * However, this strategy alone leads to serious mis-estimates * in some non-steady-state conditions (ramp-up, ramp-down, * other stalls). We can detect many of these by further * considering the number of "idle" threads, that are known to * have zero queued tasks, so compensate by a factor of * (#idle/#active) threads. */ ForkJoinWorkerThread wt = (ForkJoinWorkerThread) Thread.currentThread(); return wt.workQueue.queueSize() - wt.pool.idlePerActive(); }
get drives on windows|public static List<String> () throws Throwable { loadWindowsDriveInfoLib(); List<String> drives = new ArrayList<String>(); WindowsDriveInfo info = new WindowsDriveInfo(); for (String drive : info.getLogicalDrives()) { if (info.isFixedDisk(drive)) drives.add(drive); } return drives; }
reallocate direct no cleaner|public static ByteBuffer (ByteBuffer buffer, int capacity) { assert USE_DIRECT_BUFFER_NO_CLEANER; int len = capacity - buffer.capacity(); incrementMemoryCounter(len); try { return PlatformDependent0.reallocateDirectNoCleaner(buffer, capacity); } catch (Throwable e) { decrementMemoryCounter(len); throwException(e); return null; } }
stream closed|public void (Status status) { if (closed.compareAndSet(false, true)) { for (StreamTracer tracer : tracers) { tracer.streamClosed(status); } } }
decode with state|public Result (BinaryBitmap image) throws NotFoundException { // Make sure to set up the default state so we don't crash if (readers == null) { setHints(null); } return decodeInternal(image); }
log result|private static <T> void (T result, int level, int indentSize, StringBuilder info) { if (result instanceof Map) { level += 1; int finalLevel = level; ((Map) result).forEach(( k, v) -> { info.append("\n"); info.append(getTabBasedOnLevel(finalLevel, indentSize)).append(k.toString()).append(":"); _logResult(v, finalLevel, indentSize, info); }); } else if (result instanceof List) { int finalLevel = level; ((List) result).forEach( element -> _logResult(element, finalLevel, indentSize, info)); } else if (result instanceof String) { info.append(" ").append(result); } else if (result != null) { try { logger.warn(getTabBasedOnLevel(level, indentSize) + "{}", result); } catch (Exception e) { logger.error("Cannot handle this type: {}", result.getClass().getTypeName()); } } }
item state changed|@Override public void (ItemEvent e) { if (e.getStateChange() == ItemEvent.SELECTED) { // Prepare the new session management method log.debug("Selected new Session Management type: " + e.getItem()); SessionManagementMethodType type = ((SessionManagementMethodType) e.getItem()); // different class, create it now if (selectedMethod == null || !type.isTypeForMethod(selectedMethod)) { // Create the new session management method selectedMethod = type.createSessionManagementMethod(getContextIndex()); } // Show the status panel and configuration button, if needed changeMethodConfigPanel(type); if (type.hasOptionsPanel()) shownConfigPanel.bindMethod(selectedMethod); } }
from flat select|static <IN, OUT> FlatSelectBuilder<IN, OUT> (final PatternFlatSelectFunction<IN, OUT> function) { return new FlatSelectBuilder<>(function); }
load props by suffix|public static void (final File jobPath, final Props props, final String... suffixes) { try { if (jobPath.isDirectory()) { final File[] files = jobPath.listFiles(); if (files != null) { for (final File file : files) { loadPropsBySuffix(file, props, suffixes); } } } else if (endsWith(jobPath, suffixes)) { props.putAll(new Props(null, jobPath.getAbsolutePath())); } } catch (final IOException e) { throw new RuntimeException("Error loading schedule properties.", e); } }
get connection|CompletableFuture<ClientConnection> () throws SegmentSealedException { if (state.isClosed()) { throw new IllegalStateException("SegmentOutputStream is already closed", state.getException()); } if (state.isAlreadySealed()) { throw new SegmentSealedException(this.segmentName); } if (state.getConnection() == null) { reconnect(); } CompletableFuture<ClientConnection> future = new CompletableFuture<>(); state.setupConnection.register(future); return future; }
self checking move|private void (String s3Bucket, String targetS3Bucket, String s3Path, String targetS3Path, String copyMsg) throws IOException, SegmentLoadingException { if (s3Bucket.equals(targetS3Bucket) && s3Path.equals(targetS3Path)) { log.info("No need to move file[s3://%s/%s] onto itself", s3Bucket, s3Path); return; } if (s3Client.doesObjectExist(s3Bucket, s3Path)) { final ListObjectsV2Result listResult = s3Client.listObjectsV2(new ListObjectsV2Request().withBucketName(s3Bucket).withPrefix(s3Path).withMaxKeys(1)); // keyCount is still zero. if (listResult.getObjectSummaries().size() == 0) { // should never happen throw new ISE("Unable to list object [s3://%s/%s]", s3Bucket, s3Path); } final S3ObjectSummary objectSummary = listResult.getObjectSummaries().get(0); if (objectSummary.getStorageClass() != null && StorageClass.fromValue(StringUtils.toUpperCase(objectSummary.getStorageClass())).equals(StorageClass.Glacier)) { throw new AmazonServiceException(StringUtils.format("Cannot move file[s3://%s/%s] of storage class glacier, skipping.", s3Bucket, s3Path)); } else { log.info("Moving file %s", copyMsg); final CopyObjectRequest copyRequest = new CopyObjectRequest(s3Bucket, s3Path, targetS3Bucket, targetS3Path); if (!config.getDisableAcl()) { copyRequest.setAccessControlList(S3Utils.grantFullControlToBucketOwner(s3Client, targetS3Bucket)); } s3Client.copyObject(copyRequest); if (!s3Client.doesObjectExist(targetS3Bucket, targetS3Path)) { throw new IOE("After copy was reported as successful the file doesn't exist in the target location [%s]", copyMsg); } deleteWithRetriesSilent(s3Bucket, s3Path); log.debug("Finished moving file %s", copyMsg); } } else { // ensure object exists in target location if (s3Client.doesObjectExist(targetS3Bucket, targetS3Path)) { log.info("Not moving file [s3://%s/%s], already present in target location [s3://%s/%s]", s3Bucket, s3Path, targetS3Bucket, targetS3Path); } else { throw new SegmentLoadingException("Unable to move file %s, not present in either source or target location", copyMsg); } } }
